timestep,temp,power_limit,reward,slope_3s,power_draw,eta,fan,util
1,63.0,259.0,-1.0,0.0,252.66,0.9755212355212355,90.0,100.0
2,63.0,260.0,0.17429247498512268,0.0,254.23,0.9778076923076923,90.0,100.0
3,61.0,260.0,0.29005739092826843,-0.4805844877104639,253.83,0.9762692307692308,90.0,100.0
4,64.0,261.0,0.6476839780807495,0.2404352927695158,252.85,0.9687739463601532,90.0,100.0
5,63.0,261.0,-1.0,0.4825142670185828,251.31,0.9628735632183908,90.0,100.0
6,64.0,260.0,-1.0,0.0,255.04,0.9809230769230769,90.0,100.0
7,64.0,258.0,-1.0,0.2417318596097299,252.74,0.9796124031007752,90.0,100.0
8,64.0,257.0,-1.0,0.0,252.84,0.9838132295719845,90.0,100.0
9,64.0,256.0,-1.0,0.0,254.07,0.9924609375,90.0,100.0
10,65.0,256.0,0.22331710159778595,0.24131201626028234,255.46,0.997890625,90.0,100.0
11,64.0,257.0,0.40228211879730225,0.0,253.5,0.9863813229571985,90.0,100.0
12,64.0,258.0,0.26255470514297485,-0.24132201277199403,254.21,0.9853100775193798,90.0,100.0
13,65.0,257.0,-1.0,0.24155499925016258,253.03,0.9845525291828794,90.0,100.0
14,65.0,258.0,0.2570801079273224,0.24220345047338854,251.79,0.9759302325581395,90.0,100.0
15,65.0,259.0,0.7146234512329102,0.0,253.79,0.9798841698841698,90.0,100.0
16,63.0,259.0,0.046038705855607986,-0.4838864735095107,256.7,0.9911196911196911,90.0,100.0
17,65.0,259.0,-1.0,0.0,252.5,0.974903474903475,90.0,100.0
18,65.0,258.0,-1.0,0.4828837653269801,253.93,0.9842248062015504,90.0,100.0
19,65.0,258.0,-1.0,0.0,255.09,0.9887209302325581,90.0,100.0
20,65.0,258.0,0.09003815799951553,0.0,255.48,0.9902325581395348,90.0,100.0
21,65.0,258.0,-1.0,0.0,254.2,0.9852713178294573,90.0,100.0
22,65.0,256.0,-1.0,0.0,253.61,0.9906640625,90.0,100.0
23,66.0,258.0,1.0428144931793213,0.24120718609597142,254.47,0.9863178294573643,90.0,100.0
24,66.0,259.0,0.8552618026733398,0.24168334481639764,253.67,0.9794208494208494,90.0,100.0
25,66.0,258.0,-1.0,0.0,255.45,0.9901162790697674,90.0,100.0
26,65.0,258.0,-1.0,-0.24127324596162653,254.46,0.9862790697674418,90.0,100.0
27,66.0,258.0,0.19750754535198212,0.0,253.6,0.9829457364341085,90.0,100.0
28,66.0,258.0,-1.0,0.2411907079877562,255.48,0.9902325581395348,90.0,100.0
29,63.0,259.0,0.5911169648170471,-0.7205307284483188,257.06,0.9925096525096525,90.0,100.0
30,66.0,258.0,-1.0,0.0,254.41,0.9860852713178294,90.0,100.0
31,66.0,258.0,0.028124550357460976,0.7229548473820899,254.82,0.9876744186046511,90.0,100.0
32,66.0,257.0,-1.0,0.0,254.29,0.989455252918288,90.0,100.0
33,66.0,257.0,0.09100440889596939,0.0,254.32,0.9895719844357976,90.0,100.0
34,66.0,257.0,0.09740818291902542,0.0,253.62,0.9868482490272373,90.0,100.0
35,66.0,257.0,0.2455316185951233,0.0,255.21,0.993035019455253,90.0,100.0
36,67.0,259.0,0.6716580986976624,0.24110679889138,252.6,0.9752895752895753,90.0,100.0
37,67.0,258.0,-1.0,0.24200276061632262,254.14,0.9850387596899224,90.0,100.0
38,67.0,258.0,0.196787029504776,0.0,253.71,0.9833720930232559,90.0,100.0
39,66.0,259.0,0.2517907917499542,-0.2410759923475128,256.33,0.9896911196911197,90.0,100.0
40,67.0,259.0,0.3612586557865143,0.0,252.85,0.9762548262548262,90.0,100.0
41,66.0,259.0,0.021461747586727142,0.0,253.56,0.978996138996139,90.0,100.0
42,61.0,261.0,1.2579126358032227,-1.4415190874019423,257.76,0.9875862068965517,90.0,100.0
43,67.0,260.0,-1.0,0.24043858689682893,253.7,0.9757692307692307,90.0,100.0
44,67.0,261.0,0.4198189079761505,1.4426000137921,253.33,0.9706130268199235,90.0,100.0
45,67.0,260.0,-1.0,0.0,254.39,0.9784230769230768,90.0,100.0
46,67.0,261.0,0.20284007489681244,0.0,253.45,0.9710727969348658,90.0,100.0
47,67.0,261.0,0.007167528849095106,0.0,254.31,0.974367816091954,90.0,100.0
48,67.0,260.0,-1.0,0.0,252.88,0.9726153846153845,90.0,100.0
49,67.0,261.0,0.5674532055854797,0.0,255.23,0.9778927203065134,90.0,100.0
50,67.0,261.0,-1.0,0.0,254.48,0.9750191570881226,90.0,100.0
51,67.0,260.0,-1.0,0.0,254.14,0.9774615384615384,90.0,100.0
52,61.0,261.0,0.6009178161621094,-1.4503569697758731,257.53,0.9867049808429118,90.0,100.0
53,67.0,261.0,0.02554898150265217,0.0,253.95,0.9729885057471264,90.0,100.0
54,67.0,261.0,-1.0,1.438524346991922,255.67,0.9795785440613026,90.0,100.0
55,67.0,260.0,-1.0,0.0,258.64,0.9947692307692307,90.0,100.0
56,67.0,261.0,0.3989368975162506,0.0,254.77,0.9761302681992338,90.0,100.0
57,68.0,263.0,1.275758981704712,0.23987647657176048,256.38,0.974828897338403,90.0,100.0
58,67.0,262.0,-1.0,0.0,258.83,0.9879007633587785,90.0,100.0
59,67.0,263.0,0.27467501163482666,-0.24009659037178271,255.64,0.9720152091254752,90.0,100.0
60,68.0,263.0,0.1893625259399414,0.2406391472467719,256.18,0.9740684410646389,90.0,100.0
61,67.0,263.0,0.18956157565116882,0.0,255.35,0.9709125475285171,90.0,100.0
62,67.0,264.0,0.3186630606651306,-0.24087257317223185,254.72,0.9648484848484848,90.0,100.0
63,68.0,262.0,-1.0,0.24035677041219747,255.06,0.9735114503816794,90.0,100.0
64,68.0,263.0,0.5348601937294006,0.23986039924197256,256.8,0.9764258555133081,90.0,100.0
65,68.0,263.0,-1.0,0.0,257.41,0.978745247148289,90.0,100.0
66,68.0,263.0,0.05670074746012688,0.0,253.97,0.9656653992395438,90.0,100.0
67,68.0,262.0,-1.0,0.0,254.71,0.972175572519084,90.0,100.0
68,63.0,262.0,-1.0,-1.2080299076618222,257.4,0.9824427480916029,90.0,100.0
69,68.0,261.0,-1.0,0.0,253.65,0.9718390804597702,90.0,100.0
70,68.0,261.0,0.10613492876291275,1.206926785715005,254.45,0.9749042145593869,90.0,100.0
71,68.0,263.0,0.8249229192733765,0.0,255.42,0.9711787072243345,90.0,100.0
72,69.0,263.0,0.38028988242149353,0.24036058580695102,254.99,0.9695437262357415,90.0,100.0
73,68.0,264.0,0.1673794537782669,0.0,254.15,0.962689393939394,90.0,100.0
74,68.0,265.0,0.7722768187522888,-0.24268922760695966,255.03,0.962377358490566,90.0,100.0
75,68.0,265.0,-1.0,0.0,257.57,0.9719622641509433,90.0,100.0
76,68.0,266.0,1.2895716428756714,0.0,255.07,0.9589097744360902,90.0,100.0
77,68.0,267.0,0.11352077126502991,0.0,254.8,0.954307116104869,90.0,100.0
78,66.0,266.0,-1.0,-0.4821634302901301,256.93,0.9659022556390978,90.0,100.0
79,68.0,268.0,1.2855364084243774,0.0,255.16,0.952089552238806,90.0,100.0
80,69.0,267.0,-1.0,0.7249843225293032,255.05,0.9552434456928839,90.0,100.0
81,68.0,267.0,-1.0,0.0,256.76,0.9616479400749063,90.0,100.0
82,69.0,268.0,0.45557528734207153,0.0,254.66,0.9502238805970149,89.0,100.0
83,68.0,266.0,-1.0,0.0,253.34,0.952406015037594,90.0,100.0
84,68.0,266.0,-1.0,-0.240227655621902,254.81,0.9579323308270676,90.0,100.0
85,69.0,267.0,0.4389623701572418,0.24088113607252878,254.27,0.9523220973782772,90.0,100.0
86,69.0,268.0,0.8102302551269531,0.24225196444363944,256.08,0.9555223880597015,90.0,100.0
87,68.0,271.0,2.168473482131958,-0.2422970685277245,255.08,0.9412546125461255,90.0,100.0
88,68.0,271.0,0.15249839425086975,-0.24164701674560435,257.24,0.9492250922509226,90.0,100.0
89,69.0,272.0,0.37902697920799255,0.24139356754063912,254.74,0.9365441176470588,90.0,100.0
90,69.0,271.0,-1.0,0.24215801772752268,256.0,0.9446494464944649,90.0,100.0
91,68.0,271.0,0.13009725511074066,-0.24195482095227647,256.23,0.9454981549815499,90.0,100.0
92,69.0,273.0,1.1931486129760742,0.0,255.68,0.9365567765567766,90.0,100.0
93,69.0,271.0,-1.0,0.23849462007302502,257.02,0.9484132841328413,90.0,100.0
94,69.0,272.0,0.5742984414100647,0.0,258.41,0.9500367647058825,90.0,100.0
95,69.0,273.0,0.13218411803245544,0.0,255.53,0.9360073260073261,90.0,100.0
96,69.0,272.0,-1.0,0.0,257.31,0.9459926470588236,90.0,100.0
97,69.0,272.0,0.06774468719959259,0.0,259.39,0.9536397058823529,90.0,100.0
98,69.0,270.0,-1.0,0.0,253.92,0.9404444444444444,90.0,100.0
99,69.0,270.0,-1.0,0.0,256.43,0.9497407407407408,90.0,100.0
100,69.0,270.0,0.13330599665641785,0.0,256.6,0.9503703703703704,90.0,100.0
101,69.0,271.0,0.3447295129299164,0.0,258.65,0.9544280442804427,90.0,100.0
102,69.0,271.0,0.16538764536380768,0.0,254.72,0.9399261992619926,90.0,100.0
103,69.0,272.0,0.404438853263855,0.0,256.55,0.9431985294117647,90.0,100.0
104,69.0,272.0,0.1369895488023758,0.0,257.61,0.9470955882352942,90.0,100.0
105,68.0,271.0,-1.0,-0.24287236615642266,255.48,0.942730627306273,90.0,100.0
106,69.0,273.0,1.112185001373291,0.0,256.21,0.9384981684981685,90.0,100.0
107,69.0,274.0,1.1847796440124512,0.24276843850086247,254.65,0.9293795620437957,90.0,100.0
108,63.0,274.0,0.05049659311771393,-1.4528621283892031,259.34,0.9464963503649634,90.0,100.0
109,69.0,275.0,0.1457332968711853,0.0,254.42,0.9251636363636363,90.0,100.0
110,69.0,275.0,-1.0,1.449127361945555,254.5,0.9254545454545454,90.0,100.0
111,69.0,275.0,-1.0,0.0,256.38,0.9322909090909091,90.0,100.0
112,69.0,274.0,-1.0,0.0,259.04,0.9454014598540147,90.0,100.0
113,70.0,274.0,0.9974613189697266,0.2405905732042139,257.0,0.9379562043795621,90.0,100.0
114,69.0,275.0,0.25110381841659546,0.0,256.08,0.9311999999999999,90.0,100.0
115,70.0,274.0,0.9987568259239197,0.0,259.3,0.9463503649635037,90.0,100.0
116,69.0,275.0,0.11573433130979538,0.0,257.09,0.9348727272727272,90.0,100.0
117,69.0,275.0,-1.0,-0.23870243612497813,257.32,0.9357090909090909,90.0,100.0
118,69.0,273.0,-1.0,0.0,257.24,0.9422710622710623,90.0,100.0
119,69.0,273.0,-1.0,0.0,255.25,0.934981684981685,90.0,100.0
120,69.0,272.0,-1.0,0.0,257.18,0.945514705882353,90.0,100.0
121,70.0,274.0,0.9953814744949341,0.24144120164301666,257.06,0.9381751824817518,90.0,100.0
122,69.0,273.0,-1.0,0.0,256.56,0.9397802197802197,90.0,100.0
123,70.0,273.0,0.9911568760871887,0.0,256.26,0.9386813186813187,90.0,100.0
124,69.0,274.0,0.47007641196250916,0.0,259.65,0.9476277372262772,90.0,100.0
125,69.0,275.0,0.4769933223724365,-0.2403463028031608,258.1,0.9385454545454547,90.0,100.0
126,70.0,273.0,0.9937366843223572,0.24095485198723365,255.6,0.9362637362637363,90.0,100.0
127,70.0,275.0,1.0,0.24089313068992674,256.88,0.9341090909090909,90.0,100.0
128,67.0,273.0,-1.0,-0.7180121714271042,257.48,0.9431501831501832,90.0,100.0
129,70.0,272.0,0.9850897192955017,0.0,256.57,0.9432720588235294,90.0,100.0
130,70.0,271.0,0.9804593324661255,0.7199245592970127,256.78,0.9475276752767526,90.0,100.0
131,67.0,271.0,0.018614668399095535,-0.7185169268365579,259.73,0.9584132841328414,90.0,100.0
132,70.0,271.0,0.978908360004425,0.0,257.55,0.950369003690037,90.0,100.0
